Model,Accuracy (PTQ),Δ vs Baseline (%),Latency (ms),Accuracy Drop (%)
FP16,75.35,0.0,26.418943405151367,0.0
BF16,75.46,-0.10999999999999943,25.841946601867676,-0.10999999999999943
INT8,75.08,0.269999999999996,36.70242786407471,0.269999999999996
INT4,1.36,73.99,38.06624412536621,73.99
