Model,Final Accuracy (QAT),Recovery Epoch,Recovery Time (min),Model Size (MB),Δ vs Baseline (%)
FP16,75.87,11,20.18950668970744,246.3912057876587,0.5200000000000102
BF16,75.29,12,22.58374627828598,246.3912057876587,-0.05999999999998806
INT8,75.87,12,23.716178989410402,123.2342529296875,0.5200000000000102
INT4,75.78,20,39.3166321516037,61.61712646484375,0.4300000000000068
